ID,Name,Reference,Type,Latitude,Longitude,Phone,Opening From,Opening To,Inventory End Of Day Time,Receipt Header,Address,City,District,Postal Code,Street Name,Building Number,Additional Number,Created At,Updated At,Receives Online Orders,Accepts Reservations
915c956b-fcd6-4623-b6d5-0953b77037f1,Al Naseem Branch,B01,1,21.511412,39.226996,555197678,06:00,03:00,03:00,حي النسيم  -  طريق الملك عبد الله,6244 طريق الملك عبدالله، النسيم، جدة 23233,جده,النسيم,23231,النسيم سكوير,6244,6244,2020-08-24 11:24:59,2024-06-03 14:44:40,true,false
9321d3ea-b597-42d6-a861-3ed32434b9b5,King Road Branch,B02,1,21.613088,39.117985,555637011,06:00,03:00,03:00,حي الشاطئ - طريق الملك عبد العزيز,طريق الملك عبدالعزيز، فرعي, جدة,جده,طريق الملك عبدالعزيز,21442,اتيليه لافي مول,,2351,2351,2021-04-06 18:49:45,2024-06-03 14:44:53,true,false
936005db-d7fb-498c-a440-a1aa314259b9,Prince Fawaz,B03,1,21.4555,39.271175,555216811,06:00,03:00,03:00,سيد الشهداء - الامير فواز الجنوبي,سيد الشهداء، الامير فواز الجنوبي,جده,الامير فواز الجنوبي,22262,سيد الشهداء,2243,2243,2021-05-07 16:50:44,2024-06-03 14:45:10,true,false
93c4be68-1f8b-4f5c-8cd9-ba7f1cc6b402,Al Manar Branch,B04,1,21.597333,39.24883,555637211,06:00,03:00,03:00,شارع الأجواد - السامر,شارع الأجواد - السامر,جده,السامر,21442,المنار,1478,2351,2021-06-26 18:29:33,2024-06-03 14:45:25,true,false
94a988c4-6dfd-41ea-bed3-cb280018ff4f,Main Pastry,B05,1,21.4555,39.271175,541201344,05:00,04:00,02:00,,الامير -فواز,جده,الامير فواز,21454,الشهداء,1249,1348,2021-10-18 12:04:09,2024-06-04 10:39:56,false,false
95dd8a35-ba26-4e09-8b13-64f573cc6222,Le Prestige  Branch,B06,1,22.238692,39.352195,555863533,06:00,03:00,03:00,حي الشاطئ - طريق الملك عبد العزيز,حي الشاطئ - طريق الملك عبد العزيز,جده,الشاطي,41442,لو برستيج مول,2341,2341,2022-03-20 14:43:10,2024-06-03 14:45:42,true,false
95e378ad-8f84-46a7-a859-56eb35170d25,MDL Beast  Formula,,1,,,,06:00,05:00,05:00,,,,,,,,,2022-03-23 13:29:07,2022-03-24 08:11:03,false,false
95e37b2f-757a-4241-a791-8e2e43c95f23,mmm,,1,,,,06:00,05:00,05:00,,,,,,,,,2022-03-23 13:36:08,2022-03-23 17:09:20,true,false
95e50a31-4ddd-4451-8978-616694311dc7,Esso Office,Off01,1,21.682209,39.119074,542922640,06:00,05:00,05:00,,الامير سلطان,جده,المحمديه,12345,المحمديه,1234,1001,2022-03-24 08:11:50,2024-06-04 10:37:52,false,false
97a77c5f-c326-480c-8e98-801878065be1,Salihiya-الصالحيه,B07,1,21.788718,39.215592,556515347,04:00,03:00,03:00,,الصالحيه,جده,الصالحيه,21442,لصالحيه,1214,2351,2022-11-03 06:13:39,2024-06-03 14:49:28,true,false
97a77c7a-ae36-41df-9e88-1069c2174370,Al basateen - البساتين,B08,1,21.682209,39.119074,556540878,04:00,03:00,03:00,,جده  - البساتين,جده,البساتين,12450,البساتين,3014,1348,2022-11-03 06:13:57,2024-06-03 14:50:16,false,false
97a77c8a-c242-49f0-94ee-a04ab173a5d3,الرغامه - Al Raghama,B09,1,21.506282,39.258191,556589663,04:00,03:00,03:00,,الرغامه - السالمانيه,جده,السلمانيه,21442,الرغامه,1217,2351,2022-11-03 06:14:08,2024-06-03 14:48:21,true,false
97a77c9e-f970-4d81-baa2-839a82f23f9e,Al wazrih -  الوزيريه,B10,1,21.464854,39.239894,556540470,04:00,03:00,03:00,,الوزريه,جده,الوزريه,21442,الوزريه,1247,2351,2022-11-03 06:14:21,2024-06-03 14:49:19,false,false
9874db83-a2be-46f1-9602-20d1bb72524c,Saud -سعود,B11,1,21.810828,39.101619,556553483,04:00,03:00,03:00,,سعود,جده,سعود,21442,سعود,1217,2351,2023-02-13 08:24:24,2024-06-03 14:49:38,true,false
9874dbfc-0ab7-4981-b8b8-d80dd223564d,فرع محطة الشرقية,B35,1,21.786949,39.107345,556533580,04:00,03:00,03:00,,عبد المجيد,جده,ابحر,21442,ابحر,1217,2351,2023-02-13 08:25:43,2024-09-10 08:39:31,true,false
